game_id,season,team,point_diff,wins,turnover_diff,off_pass_epa,off_rush_epa,def_pass_epa,def_rush_epa,home,dome,temp,wind
2002_02_NE_NYJ,2002,NE,37,1,0,0.189078592,0.189782752,-0.741074211,-0.116642954,0,0,78,7
2002_02_NE_NYJ,2002,NYJ,-37,0,0,-0.741074211,-0.116642954,0.189078592,0.189782752,1,0,78,7
2002_02_NYG_STL,2002,NYG,5,1,3,0.568307091,-0.291932248,0.008543613,-0.250810894,0,1,70,0
2002_02_NYG_STL,2002,LA,-5,0,-3,0.008543613,-0.250810894,0.568307091,-0.291932248,1,1,70,0
2002_02_OAK_PIT,2002,LV,13,1,3,-0.007128501,0.208108939,-0.166818019,-0.586931686,0,0,70,7
2002_02_OAK_PIT,2002,PIT,-13,0,-3,-0.166818019,-0.586931686,-0.007128501,0.208108939,1,0,70,7
2002_02_PHI_WAS,2002,PHI,30,1,3,0.248412139,0.123541104,-0.433688191,-0.063389965,0,0,76,8
2002_02_PHI_WAS,2002,WAS,-30,0,-3,-0.433688191,-0.063389965,0.248412139,0.123541104,1,0,76,8
2002_02_TB_BAL,2002,BAL,-25,0,-1,-0.417002481,-0.318879104,0.279866054,-0.215041763,1,0,78,0
2002_02_TB_BAL,2002,TB,25,1,1,0.279866054,-0.215041763,-0.417002481,-0.318879104,0,0,78,0
2002_02_TEN_DAL,2002,DAL,8,1,1,0.462182614,-0.39276244,-0.122107911,-0.046719282,1,0,81,0
2002_02_TEN_DAL,2002,TEN,-8,0,-1,-0.122107911,-0.046719282,0.462182614,-0.39276244,0,0,81,0
2002_03_BUF_DEN,2002,BUF,-5,0,-1,0.183138958,-0.665586884,0.103032064,0.027800131,0,0,59,3
2002_03_BUF_DEN,2002,DEN,5,1,1,0.103032064,0.027800131,0.183138958,-0.665586884,1,0,59,3
2002_03_CAR_MIN,2002,CAR,7,1,3,-0.037432555,0.096253482,-0.336648673,-0.121382665,0,1,70,0
2002_03_CAR_MIN,2002,MIN,-7,0,-3,-0.336648673,-0.121382665,-0.037432555,0.096253482,1,1,70,0
2002_03_CIN_ATL,2002,ATL,27,1,2,-0.003626139,0.188225888,-0.502559314,0.005952161,1,1,70,0
2002_03_CIN_ATL,2002,CIN,-27,0,-2,-0.502559314,0.005952161,-0.003626139,0.188225888,0,1,70,0
2002_03_CLE_TEN,2002,CLE,3,1,-3,0.148404243,-0.351647776,0.075747374,-0.141402657,0,0,72,9
2002_03_CLE_TEN,2002,TEN,-3,0,3,0.075747374,-0.141402657,0.148404243,-0.351647776,1,0,72,9
2002_03_DAL_PHI,2002,DAL,-31,0,-2,-0.154155006,-0.458076334,0.279602593,-0.125427763,0,0,82,12
2002_03_DAL_PHI,2002,PHI,31,1,2,0.279602593,-0.125427763,-0.154155006,-0.458076334,1,0,82,12
2002_03_GB_DET,2002,DET,-6,0,-2,-0.286766808,-0.158012756,0.191793807,-0.197795197,1,1,70,0
2002_03_GB_DET,2002,GB,6,1,2,0.191793807,-0.197795197,-0.286766808,-0.158012756,0,1,70,0
2002_03_IND_HOU,2002,HOU,-20,0,0,-0.371583143,-0.149124152,0.143344941,-0.230055576,1,0,70,0
2002_03_IND_HOU,2002,IND,20,1,0,0.143344941,-0.230055576,-0.371583143,-0.149124152,0,0,70,0
2002_03_KC_NE,2002,KC,-3,0,-2,-0.025459667,0.359228465,0.186645073,0.009652131,0,0,80,20
2002_03_KC_NE,2002,NE,3,1,2,0.186645073,0.009652131,-0.025459667,0.359228465,1,0,80,20
2002_03_NO_CHI,2002,CHI,-6,0,2,0.059567344,-0.05404722,0.289416677,-0.423547304,1,0,53,6
2002_03_NO_CHI,2002,NO,6,1,-2,0.289416677,-0.423547304,0.059567344,-0.05404722,0,0,53,6
2002_03_NYJ_MIA,2002,MIA,27,1,4,0.084547612,0.227890049,-0.334578661,-0.275494948,1,0,90,12
2002_03_NYJ_MIA,2002,NYJ,-27,0,-4,-0.334578661,-0.275494948,0.084547612,0.227890049,0,0,90,12
2002_03_SD_ARI,2002,ARI,-8,0,-2,-0.246816486,-0.091023494,0.045978941,-0.050595106,1,0,100,0
2002_03_SD_ARI,2002,LAC,8,1,2,0.045978941,-0.050595106,-0.246816486,-0.091023494,0,0,100,0
2002_03_SEA_NYG,2002,NYG,3,1,1,0.16553074,-0.376378714,-0.157125065,-0.351435684,1,0,82,8
2002_03_SEA_NYG,2002,SEA,-3,0,-1,-0.157125065,-0.351435684,0.16553074,-0.376378714,0,0,82,8
2002_03_STL_TB,2002,LA,-12,0,-3,-0.234806576,0.074775805,-0.082840683,0.016137641,0,0,79,6
2002_03_STL_TB,2002,TB,12,1,3,-0.082840683,0.016137641,-0.234806576,0.074775805,1,0,79,6
2002_03_WAS_SF,2002,SF,10,1,1,-0.294289401,0.244202047,-0.064480764,-0.445607126,1,0,65,5
